index	ID	商品分类	数量	成本	销售
1	0002884011363	590507	1	200	279
2	0008635012177	100503	1	89	115
3	0008635099680	100210	1	71	92
4	0010742201412	300716	1	63	79
5	0010742201610	300716	1	63	79
6	0010742201719	300716	1	63	79
7	0010742201818	300716	1	63	79
8	0010742202112	300716	1	63	79
9	0010742202211	300716	1	63	79
10	0010742206615	300716	1	63	75
11	0011111371644	530304	1	92	125
12	0011111400191	530301	1	47	59
13	0011111893498	530404	1	310	399
14	0011113470321	590312	1	85	119
15	0011797210039	712102	1	376	499
16	0011797210046	712102	1	847	1110
17	0011944906150	720508	1	145	205
18	0012058602518	720306	1	265	388
19	0012587603178	510539	1	54	79
20	0012587609736	500311	2	106	142
21	0012587609774	500311	1	53	71
22	0013110403791	500804	3	960	1197
23	0015000012120	560401	1	248	295
24	0015000012137	560401	1	248	295
25	0015000014001	560401	1	117	145
26	0015000014018	560401	1	117	145
27	0015000014063	560401	1	117	145
28	0015000021009	560401	1	171	208
29	0015000021153	560401	1	171	208
30	0015000021214	560401	1	171	208
31	0015000021221	560401	1	171	208
32	0015000021245	560401	1	171	208
33	0015000021276	560401	2	342	288
34	0015000021283	560401	1	171	208
35	0015000026028	560401	1	160	195
36	0015000026042	560401	1	160	195
37	0015000026080	560401	1	160	195
38	0015000026097	560401	1	160	195
39	0015000026318	560401	1	160	195
40	0015000027063	560401	2	320	390
41	0015000049164	560401	1	162	195
42	0015000049188	560401	1	162	195
43	0015000049317	560401	1	162	195
44	0015000760571	590501	2	142	198
45	0015000760854	560307	1	31	38
46	0015000760946	560349	1	85	115
47	0015000761400	560334	3	180	237
48	0015000761493	560336	2	96	130
49	0015000761509	560336	1	48	65
50	0015000761561	560327	1	25	35
51	0015000761578	560327	2	50	70
52	0015000761639	560336	1	34	40
53	0015000761707	560322	1	60	79
54	0015000761714	560322	1	111	145
55	0015000761844	560349	1	42	59
56	0015000762322	560321	1	205	285
57	0015000765002	560334	1	68	95
58	0015700052013	100405	1	75	99
59	0015700072776	100405	2	150	188
60	0015700072790	100405	1	75	99
61	0016229006273	110518	3	90	108
62	0016379130118	530114	1	160	199
63	0016379130125	530114	1	160	199
64	0016379130194	530114	1	160	199
65	0017000005119	530409	3	144	197
66	0017500036576	510607	1	70	99
67	0017600021076	110122	1	20	26
68	0019200020480	530212	1	145	169
69	0019200021210	530227	1	145	169
70	0019281504268	100103	1	33	45
71	0020000102818	110505	1	139	138
72	0020000102825	110505	1	139	138
73	0020000105093	110505	2	62	74
74	0020000110370	110505	1	31	37
75	0020000112794	110505	2	62	74
76	0020000112824	110505	1	31	37
77	0020626043700	761112	1	869	957
78	0020800902472	530211	1	80	95
79	0021000767472	130109	1	52	60
80	0022000119599	100101	1	140	168
81	0022000119605	100101	1	140	168
82	0022000119919	100101	1	140	168
83	0022000119964	100101	1	140	168
84	0022000119988	100101	1	140	160
85	0022000121509	100101	1	55	65
86	0022000147110	100101	1	53	68
87	0022000147165	100101	1	55	68
88	0022000147189	100101	1	55	68
89	0022000167613	100101	1	108	122
90	0022000167620	100101	1	108	128
91	0022000167637	100101	1	108	128
92	0022513107915	720507	1	104	149
93	0022972004237	760593	1	895	1090
94	0022972004664	760593	1	1676	1780
95	0024000012054	100501	4	360	460
96	0025700010319	500311	1	44	59
97	0025700010326	500311	1	29	42
98	0025700010500	500311	1	44	59
99	0025784301020	530602	1	150	215
100	0025985040155	300712	2	282	282
101	0025985053186	300709	1	139	179
102	0026333002092	500806	1	23	35
103	0026333002108	500806	1	23	33
104	0026333002115	500806	1	23	35
105	0026333002146	500806	1	300	425
106	0026333002153	500806	1	194	270
107	0026333002771	500806	1	92	135
108	0026333003907	500806	1	32	49
109	0026333004119	500807	1	67	99
110	0026333004201	500807	1	48	69
111	0026333004270	500806	1	155	240
112	0026333004287	500806	1	24	35
113	0026333004294	500806	1	29	42
114	0026333004300	500806	1	38	56
115	0026333004317	500806	1	48	70
116	0026333004447	500807	1	13	19
117	0026333004478	500806	1	55	85
118	0026333004492	500806	1	17	24
119	0026333004911	500807	1	135	189
120	0026333004928	500806	1	135	189
121	0026333005345	500806	1	97	139
122	0026333005352	500806	1	72	99
123	0026333005451	500807	1	71	110
124	0026333006205	500807	2	202	284
125	0026333006243	500807	1	135	189
126	0026333006366	500807	1	57	85
127	0026333006373	500807	1	32	47
128	0026333006380	500807	1	32	50
129	0026333006397	500807	1	31	50
