index	ID	年龄	区域
1	00001069  	K 	E 
2	00001113  	K 	F 
3	00001250  	D 	D 
4	00001359  	K 	G 
5	00001823  	K 	D 
6	00002189  	K 	B 
7	00003667  	K 	G 
8	00004282  	J 	E 
9	00004381  	D 	G 
10	00004947  	K 	D 
11	00004961  	D 	F 
12	00004978  	K 	D 
13	00005241  	D 	F 
14	00005357  	D 	F 
15	00005517  	G 	E 
16	00006378  	D 	C 
17	00006668  	D 	E 
18	00006989  	F 	A 
19	00007795  	D 	G 
20	00008006  	D 	G 
21	00008198  	D 	G 
22	00009218  	E 	F 
23	00010801  	D 	E 
24	00011099  	E 	E 
25	00011211  	K 	E 
26	00011235  	K 	F 
27	00011853  	C 	F 
28	00011914  	D 	A 
29	00012171  	C 	C 
30	00012249  	K 	F 
31	00013062  	K 	E 
32	00013697  	G 	B 
33	00014762  	D 	C 
34	00015172  	F 	A 
35	00015424  	D 	F 
36	00015974  	B 	G 
37	00016049  	C 	H 
38	00016766  	F 	F 
39	00016773  	D 	G 
40	00016803  	D 	F 
41	00017596  	B 	F 
42	00018173  	B 	F 
43	00018197  	C 	E 
44	00018319  	H 	F 
45	00018333  	H 	E 
46	00018364  	D 	D 
47	00018524  	D 	E 
48	00018821  	D 	E 
49	00018944  	J 	H 
50	00019125  	C 	C 
51	00019200  	H 	H 
52	00019484  	E 	G 
53	00019514  	F 	E 
54	00019545  	G 	H 
55	00019750  	F 	E 
56	00019866  	A 	F 
57	00019873  	D 	E 
58	00019897  	E 	E 
59	00019903  	E 	E 
60	00019941  	J 	E 
61	00020077  	E 	H 
62	00020145  	I 	H 
63	00020220  	E 	F 
64	00020282  	F 	H 
65	00020428  	E 	A 
66	00020459  	E 	D 
67	00020596  	B 	F 
68	00020695  	D 	F 
69	00020756  	F 	F 
70	00020794  	E 	E 
71	00020800  	D 	E 
72	00020817  	G 	E 
73	00020848  	I 	E 
74	00020879  	D 	F 
75	00021128  	C 	E 
76	00021203  	F 	C 
77	00021234  	E 	H 
78	00021265  	G 	D 
79	00021357  	F 	D 
80	00021432  	E 	E 
81	00021449  	F 	E 
82	00021470  	H 	E 
83	00021593  	F 	E 
84	00021647  	E 	E 
85	00021678  	E 	E 
86	00021708  	G 	H 
87	00021821  	E 	H 
88	00021951  	E 	F 
89	00022040  	D 	H 
90	00022064  	C 	G 
91	00022149  	C 	F 
92	00022163  	E 	C 
93	00022453  	J 	E 
94	00022514  	D 	H 
95	00022590  	C 	E 
96	00022729  	F 	E 
97	00022736  	D 	H 
98	00022903  	G 	E 
99	00022927  	H 	E 
100	00022934  	F 	E 
101	00022996  	C 	E 
102	00023078  	C 	E 
103	00023146  	B 	E 
104	00023160  	C 	E 
105	00023177  	D 	H 
106	00023207  	G 	F 
107	00023245  	G 	E 
108	00023351  	E 	C 
109	00023467  	D 	E 
110	00023474  	C 	F 
111	00023504  	B 	F 
112	00023535  	F 	E 
113	00023672  	D 	H 
114	00023733  	E 	C 
115	00023771  	J 	E 
116	00023795  	H 	E 
117	00023801  	G 	E 
118	00023863  	D 	E 
119	00023917  	F 	F 
120	00023931  	F 	E 
121	00024105  	C 	H 
122	00024167  	F 	D 
123	00024259  	E 	E 
124	00024297  	E 	C 
125	00024402  	E 	F 
126	00024440  	F 	D 
127	00024488  	D 	A 
128	00024501  	D 	F 
129	00024518  	D 	C 
130	00024525  	F 	C 
131	00024532  	F 	F 
132	00024594  	F 	F 
133	00024662  	D 	F 
134	00024723  	E 	D 
135	00024730  	B 	E 
136	00024860  	G 	D 
137	00024907  	D 	F 
138	00024914  	F 	E 
139	00025058  	D 	E 
140	00025072  	E 	G 
141	00025096  	D 	F 
142	00025140  	E 	H 
143	00025300  	E 	D 
144	00025324  	D 	E 
145	00025362  	E 	F 
146	00025386  	B 	E 
147	00025393  	D 	F 
148	00025423  	E 	E 
149	00025454  	D 	D 
150	00025515  	F 	E 
151	00025539  	C 	E 
152	00025553  	F 	H 
153	00025577  	B 	E 
154	00025652  	C 	A 
155	00025683  	E 	F 
156	00025805  	C 	E 
157	00025973  	E 	E 
158	00026000  	G 	E 
159	00026031  	D 	F 
160	00026062  	E 	E 
161	00026123  	F 	E 
162	00026192  	E 	F 
163	00026260  	F 	F 
164	00026307  	D 	E 
165	00026321  	E 	E 
166	00026468  	F 	F 
167	00026499  	G 	E 
168	00026550  	D 	F 
169	00026604  	G 	D 
170	00026666  	H 	H 
171	00026758  	J 	H 
172	00026789  	E 	E 
173	00026925  	F 	E 
174	00027113  	G 	F 
175	00027151  	F 	E 
176	00027199  	J 	E 
177	00027243  	G 	E 
178	00027298  	H 	H 
179	00027304  	F 	E 
180	00027335  	E 	E 
181	00027359  	B 	F 
182	00027540  	F 	F 
183	00027601  	J 	D 
184	00027632  	G 	E 
185	00027717  	G 	C 
186	00027908  	D 	E 
187	00027946  	G 	F 
188	00027953  	F 	D 
189	00027984  	D 	E 
190	00028127  	F 	C 
191	00028516  	C 	E 
192	00028547  	E 	E 
193	00028554  	C 	F 
194	00028592  	C 	C 
195	00028639  	C 	F 
196	00028646  	E 	G 
197	00028653  	C 	F 
198	00028714  	F 	F 
199	00028721  	C 	F 
200	00028738  	D 	E 
201	00028769  	E 	F 
202	00028844  	D 	H 
203	00028899  	B 	E 
204	00028967  	G 	F 
205	00029018  	B 	F 
206	00029117  	J 	E 
207	00029209  	G 	E 
208	00029223  	H 	F 
209	00029254  	D 	E 
210	00029377  	F 	H 
211	00029421  	F 	F 
212	00029599  	E 	F 
213	00029865  	C 	G 
214	00029964  	D 	C 
215	00030045  	C 	E 
216	00030106  	D 	G 
217	00030267  	D 	E 
218	00030281  	E 	E 
219	00030502  	E 	E 
220	00030779  	F 	C 
221	00030908  	H 	F 
222	00030915  	C 	A 
223	00031059  	D 	E 
224	00031929  	D 	E 
225	00032100  	G 	E 
226	00032674  	D 	F 
227	00032827  	F 	E 
228	00032896  	F 	E 
229	00033091  	C 	E 
230	00033107  	I 	H 
231	00033169  	I 	E 
232	00033268  	D 	H 
233	00033510  	E 	C 
234	00033527  	D 	C 
235	00033749  	I 	D 
236	00033770  	G 	E 
237	00033831  	E 	F 
238	00033862  	F 	H 
239	00034258  	C 	A 
240	00034302  	C 	F 
241	00034395  	D 	C 
242	00034401  	F 	E 
243	00034845  	D 	F 
244	00035460  	G 	H 
245	00035866  	F 	C 
246	00035996  	C 	E 
247	00036016  	G 	D 
248	00036139  	D 	H 
249	00036450  	E 	H 
250	00036658  	E 	D 
251	00037815  	D 	D 
252	00038317  	J 	E 
253	00038355  	D 	E 
254	00038386  	J 	E 
255	00038744  	E 	H 
256	00038751  	J 	H 
257	00038782  	D 	E 
258	00038836  	E 	E 
259	00038881  	H 	E 
260	00038935  	G 	E 
261	00039215  	B 	E 
262	00039291  	G 	G 
263	00039505  	J 	E 
264	00039550  	D 	F 
265	00039635  	E 	E 
266	00039642  	F 	E 
267	00039765  	C 	E 
268	00039802  	F 	E 
269	00039932  	H 	E 
270	00040068  	C 	E 
271	00040129  	J 	E 
272	00040150  	F 	E 
273	00040181  	G 	E 
274	00040198  	G 	E 
275	00040242  	C 	E 
276	00040266  	D 	F 
277	00040372  	B 	G 
278	00040488  	E 	F 
279	00040662  	E 	E 
280	00040761  	C 	D 
281	00040792  	D 	E 
282	00040907  	J 	H 
283	00041041  	E 	G 
284	00041133  	E 	F 
285	00041171  	D 	E 
286	00041188  	D 	E 
287	00041263  	J 	E 
288	00041331  	F 	E 
289	00041584  	C 	F 
290	00041607  	J 	F 
291	00041638  	E 	E 
292	00041690  	E 	B 
293	00041737  	E 	F 
294	00041812  	C 	F 
295	00041829  	E 	F 
296	00041898  	F 	D 
297	00041928  	D 	F 
298	00042017  	B 	E 
299	00042048  	J 	E 
300	00042093  	E 	E 
301	00042208  	D 	F 
302	00042307  	F 	F 
303	00042574  	B 	D 
304	00042635  	F 	E 
305	00042666  	D 	E 
306	00042697  	B 	E 
307	00042741  	C 	E 
308	00042857  	C 	E 
309	00042918  	G 	F 
310	00042949  	B 	E 
311	00042963  	H 	F 
312	00043113  	E 	E 
313	00043267  	J 	E 
314	00043274  	I 	C 
315	00043328  	A 	E 
316	00043342  	B 	E 
317	00043359  	I 	E 
